week_start_date,tv_spend,digital_spend,promotions_spend,weekly_sales
2023-01-02,28722.05,4483.06,1410.03,121965.97
2023-01-09,11899.81,9852.94,1331.98,135460.67
2023-01-16,19454.76,8465.46,21555.87,151773.37
2023-01-23,16552.62,11581.41,776.49,140380.45
2023-01-30,18248.76,7195.26,735.91,140565.28
2023-02-06,21561.2,5694.91,794.62,133997.17
2023-02-13,29263.03,6151.87,804.85,133848.37
2023-02-20,37535.45,5092.97,651.84,134963.84
2023-02-27,6306.05,3609.78,20782.62,140500.06
2023-03-06,12106.95,500.0,188.5,127078.61
2023-03-13,10674.36,4241.58,1428.37,126891.69
2023-03-20,20681.77,2695.63,723.05,119784.49
2023-03-27,33772.3,6625.87,1429.81,130919.23
2023-04-03,18809.71,5271.27,245.37,128762.43
2023-04-10,29634.16,9884.58,831.62,135514.81
2023-04-17,8090.3,8209.16,18938.86,143195.47
2023-04-24,0.0,7134.66,379.78,135584.56
2023-05-01,5148.71,9765.79,45.08,125814.22
2023-05-08,35716.08,7431.77,178.43,126341.29
2023-05-15,25798.81,4228.68,1375.27,133839.55
2023-05-22,17645.58,6487.82,482.3,135019.92
2023-05-29,10381.47,2166.03,912.19,131730.99
2023-06-05,21472.56,2854.83,697.52,126462.75
2023-06-12,20076.18,3913.16,19107.65,141107.45
2023-06-19,18010.9,3597.98,797.83,137532.98
2023-06-26,7503.5,7206.42,280.86,129623.8
2023-07-03,12400.98,7029.78,1482.91,131719.22
2023-07-10,24019.75,8496.25,1227.46,133803.57
2023-07-17,6777.21,12269.79,19127.13,139629.39
2023-07-24,16294.88,7726.35,703.14,128760.5
2023-07-31,17405.72,4293.91,229.32,121285.01
2023-08-07,36539.36,10052.5,1381.0,124721.87
2023-08-14,9864.86,10078.63,512.08,118385.15
2023-08-21,28209.65,3302.22,75.16,111541.86
2023-08-28,12452.0,500.0,15734.83,120688.17
2023-09-04,18451.08,2394.17,1191.69,118748.12
2023-09-11,21419.5,3069.91,934.06,110154.68
2023-09-18,12562.69,4527.52,1126.26,108012.64
2023-09-25,23478.36,4510.27,1190.45,113261.62
2023-10-02,26112.15,9189.2,317.93,113561.28
2023-10-09,11868.73,10337.31,1385.67,121166.31
2023-10-16,18988.21,7283.1,17747.91,132399.41
2023-10-23,0.0,11013.96,958.52,121860.41
2023-10-30,23894.18,12487.75,3.46,118810.35
2023-11-06,0.0,7618.34,1490.05,116460.0
2023-11-13,18485.76,5038.65,421.34,117097.49
2023-11-20,10974.61,3932.1,93.09,105743.25
2023-11-27,24385.03,4378.66,687.39,116745.36
2023-12-04,35459.75,500.0,193.55,108929.3
2023-12-11,15952.35,4037.02,20603.89,133795.79
2023-12-18,0.0,4322.54,948.42,128574.23
2023-12-25,4132.52,9996.46,589.39,132802.58
2024-01-01,34059.0,7988.48,1382.78,136972.8
2024-01-08,15967.32,12551.4,478.73,133546.82
2024-01-15,16692.98,8142.3,23602.71,139943.89
2024-01-22,18053.12,10968.47,691.65,142111.79
2024-01-29,24264.14,9523.84,989.93,140768.31
2024-02-05,14237.34,5900.53,899.54,133717.29
2024-02-12,6516.35,6121.15,709.18,134643.22
2024-02-19,6061.54,6526.24,1425.09,130897.29
2024-02-26,28401.56,2844.37,514.07,131492.72
2024-03-04,24253.01,500.0,17789.33,133551.1
2024-03-11,14174.25,3865.5,1017.14,134044.86
2024-03-18,17769.98,3557.02,1269.01,131014.85
2024-03-25,34658.46,6210.16,60.38,126257.41
2024-04-01,13964.43,8311.13,674.45,138605.99
2024-04-08,0.0,6635.03,1338.73,125221.99
2024-04-15,9471.1,7376.85,24367.55,134205.81
2024-04-22,19190.64,10935.12,1487.71,141451.33
2024-04-29,11860.91,8164.02,797.12,136633.24
2024-05-06,25226.14,3004.27,989.99,135697.0
2024-05-13,11353.52,7370.56,453.72,131200.49
2024-05-20,19361.26,4989.97,21641.21,142008.36
2024-05-27,28050.49,2298.23,549.5,140637.87
2024-06-03,21662.57,1050.74,1107.77,130895.75
2024-06-10,9064.91,5557.57,604.71,128313.0
2024-06-17,9284.69,5966.21,842.73,131161.79
2024-06-24,15914.5,11271.05,1079.67,134697.36
2024-07-01,14026.58,9370.33,763.4,129010.93
2024-07-08,0.0,10559.07,14425.25,137740.45
2024-07-15,15957.64,10140.56,628.95,133214.27
2024-07-22,11314.96,11693.6,970.61,127983.94
2024-07-29,26800.0,10386.07,513.54,130399.26
2024-08-05,20457.33,10029.92,612.24,116499.38
2024-08-12,4408.82,5175.46,660.08,112136.04
2024-08-19,5620.86,3871.97,16949.88,118214.14
2024-08-26,0.0,2876.81,137.59,106694.85
2024-09-02,12313.79,5000.48,1001.23,108089.32
2024-09-09,6902.89,6906.19,983.28,104058.29
2024-09-16,13018.81,4667.47,994.36,106123.48
2024-09-23,6741.62,6373.78,29.65,94063.07
2024-09-30,16533.77,9335.33,489.82,116918.77
2024-10-07,0.0,9574.83,14771.12,126027.4
2024-10-14,10858.38,12310.73,1167.23,119780.36
2024-10-21,9427.22,6326.2,1290.95,115942.04
2024-10-28,15345.09,7928.85,370.02,110243.24
2024-11-04,10512.63,6524.46,1001.77,111901.65
2024-11-11,25566.96,2093.2,194.04,109853.34
2024-11-18,22112.32,3077.15,13727.93,126356.09
2024-11-25,0.0,2247.92,207.98,118462.63
2024-12-02,20354.45,3371.05,425.28,112615.65
2024-12-09,35359.13,6368.45,1012.1,128518.73
2024-12-16,17133.65,5208.27,1365.49,133865.84
2024-12-23,21445.17,5438.91,303.78,128638.12
2024-12-30,27733.78,8823.47,813.12,137676.72
2025-01-06,16904.02,12061.71,1052.09,136257.07
2025-01-13,22466.96,8996.31,25308.65,153034.43
